Last_commit_date,repo_description,repo_name,repo_url
2021/3/9,oculusprime,oculusprime,https://index.ros.org/r/oculusprime/#kinetic
2021/3/8,mitre_fast_layered_map,mitre_fast_layered_map,https://index.ros.org/r/mitre_fast_layered_map/#kinetic
2021/3/4,rc_dynamics_api,rc_dynamics_api,https://index.ros.org/r/rc_dynamics_api/#kinetic
2021/3/2,"navigation_layers,range_sensor_layer,social_navigation_layers",navigation_layers,https://index.ros.org/r/navigation_layers/#kinetic
2021/3/1,robot_upstart,robot_upstart,https://index.ros.org/r/robot_upstart/#kinetic
2021/2/26,"pr2_app_manager,pr2_apps,pr2_mannequin_mode,pr2_position_scripts,pr2_teleop,pr2_teleop_general,pr2_tuckarm",pr2_apps,https://index.ros.org/r/pr2_apps/#kinetic
2021/2/26,netft_utils,netft_utils,https://index.ros.org/r/netft_utils/#kinetic
2021/2/23,rqt_plot,rqt_plot,https://index.ros.org/r/rqt_plot/#kinetic
2021/2/23,ros_control_boilerplate,ros_control_boilerplate,https://index.ros.org/r/ros_control_boilerplate/#kinetic
2021/2/22,leica_gazebo_simulation,leica_gazebo_simulation,https://index.ros.org/r/leica_gazebo_simulation/#kinetic
2021/2/21,jderobot_assets,jderobot_assets,https://index.ros.org/r/jderobot_assets/#kinetic
2021/2/20,"face_detector,leg_detector,people,people_msgs,people_tracking_filter,people_velocity_tracker",people,https://index.ros.org/r/people/#kinetic
2021/2/20,"libuvc_camera,libuvc_ros",libuvc_ros,https://index.ros.org/r/libuvc_ros/#kinetic
2021/2/15,"hector_localization,hector_pose_estimation,hector_pose_estimation_core,message_to_tf",hector_localization,https://index.ros.org/r/hector_localization/#kinetic
2021/2/12,rr_swiftnav_piksi,rr_swiftnav_piksi,https://index.ros.org/r/rr_swiftnav_piksi/#kinetic
2021/2/11,"roboteq_diff_driver,roboteq_diff_msgs",roboteq_diff_driver,https://index.ros.org/r/roboteq_diff_driver/#kinetic
2021/2/11,"mir_actions,mir_description,mir_driver,mir_dwb_critics,mir_gazebo,mir_msgs,mir_navigation,mir_robot,sdc21x0",mir_robot,https://index.ros.org/r/mir_robot/#kinetic
2017/11/16,pepper_dcm_bringup,pepper_dcm_robot,https://index.ros.org/r/pepper_dcm_robot/#kinetic
2021/2/10,rviz_fps_plugin,rviz_fps_plugin,https://index.ros.org/r/rviz_fps_plugin/#kinetic
2021/2/4,"swarm_behaviors_position,swarm_behaviors_velocity,swarm_behaviors,uav_local_coverage,uav_optimal_coverage,uav_random_direction,uav_simple_tracking,ugv_random_walk",swarm_behaviors,https://index.ros.org/r/swarm_behaviors/#kinetic
2021/2/3,sainsmart_relay_usb,sainsmart_relay_usb,https://index.ros.org/r/sainsmart_relay_usb/#kinetic
2021/2/2,urdf_geometry_parser,urdf_geometry_parser,https://index.ros.org/r/urdf_geometry_parser/#kinetic
2021/2/2,leica_point_cloud_processing,leica_point_cloud_processing,https://index.ros.org/r/leica_point_cloud_processing/#kinetic
2021/2/2,control_msgs,control_msgs,https://index.ros.org/r/control_msgs/#kinetic
2021/2/1,"pilz_control,pilz_robots,pilz_status_indicator_rqt,pilz_testutils,pilz_utils,prbt_gazebo,prbt_hardware_support,prbt_ikfast_manipulator_plugin,prbt_moveit_config,prbt_support",pilz_robots,https://index.ros.org/r/pilz_robots/#kinetic
2021/1/29,teleop_legged_robots,teleop_legged_robots,https://index.ros.org/r/teleop_legged_robots/#kinetic
2021/1/29,robot_localization,robot_localization,https://index.ros.org/r/robot_localization/#kinetic
2021/1/28,"fanuc,fanuc_cr35ia_support,fanuc_cr7ia_moveit_config,fanuc_cr7ia_support,fanuc_cr7ial_moveit_config,fanuc_driver,fanuc_lrmate200i_moveit_config,fanuc_lrmate200i_moveit_plugins,fanuc_lrmate200i_support,fanuc_lrmate200ib3l_moveit_config,fanuc_lrmate200ib_moveit_config,fanuc_lrmate200ib_moveit_plugins,fanuc_lrmate200ib_support,fanuc_lrmate200ic5h_moveit_config,fanuc_lrmate200ic5l_moveit_config,fanuc_lrmate200ic_moveit_config,fanuc_lrmate200ic_moveit_plugins,fanuc_lrmate200ic_support,fanuc_m10ia_moveit_config,fanuc_m10ia_moveit_plugins,fanuc_m10ia_support,fanuc_m16ib20_moveit_config,fanuc_m16ib_moveit_plugins,fanuc_m16ib_support,fanuc_m20ia10l_moveit_config,fanuc_m20ia_moveit_config,fanuc_m20ia_moveit_plugins,fanuc_m20ia_support,fanuc_m20ib25_moveit_config,fanuc_m20ib_moveit_plugins,fanuc_m20ib_support,fanuc_m430ia2f_moveit_config,fanuc_m430ia2p_moveit_config,fanuc_m430ia_moveit_plugins,fanuc_m430ia_support,fanuc_m6ib6s_moveit_config,fanuc_m6ib_moveit_config,fanuc_m6ib_moveit_plugins,fanuc_m6ib_support,fanuc_m710ic_support,fanuc_m900ia_support,fanuc_m900ib_support,fanuc_r1000ia80f_moveit_config,fanuc_r1000ia_moveit_plugins,fanuc_r1000ia_support,fanuc_resources",fanuc,https://index.ros.org/r/fanuc/#kinetic
2021/1/26,remote_rosbag_record,remote_rosbag_record,https://index.ros.org/r/remote_rosbag_record/#kinetic
2021/1/26,"ixblue_ins,ixblue_ins_driver,ixblue_ins_msgs",ixblue_ins_stdbin_driver,https://index.ros.org/r/ixblue_ins_stdbin_driver/#kinetic
2021/1/20,rosbag_editor,rosbag_editor,https://index.ros.org/r/rosbag_editor/#kinetic
2021/1/19,vrpn_client_ros,vrpn_client_ros,https://index.ros.org/r/vrpn_client_ros/#kinetic
2021/1/19,"area_division,coverage_path,kinematics_exchanger,state_exchanger,swarm_functions,target_monitor,task_allocation",swarm_functions,https://index.ros.org/r/swarm_functions/#kinetic
2021/1/19,rfsm,rfsm,https://index.ros.org/r/rfsm/#kinetic
2021/1/19,"amcl,base_local_planner,carrot_planner,clear_costmap_recovery,costmap_2d,dwa_local_planner,fake_localization,global_planner,map_server,move_base,move_slow_and_clear,nav_core,navfn,navigation,robot_pose_ekf,rotate_recovery,voxel_grid",navigation,https://index.ros.org/r/navigation/#kinetic
2021/1/19,cpswarm_msgs,cpswarm_msgs,https://index.ros.org/r/cpswarm_msgs/#kinetic
2017/11/16,nao_dcm_bringup,nao_dcm_robot,https://index.ros.org/r/nao_dcm_robot/#kinetic
2017/11/15,robot_model,robot_model,https://index.ros.org/r/robot_model/#kinetic
2017/11/12,object_recognition_tod,object_recognition_tod,https://index.ros.org/r/object_recognition_tod/#kinetic
2017/11/12,ecto_opencv,ecto_opencv,https://index.ros.org/r/ecto_opencv/#kinetic
2017/11/9,object_recognition_transparent_objects,object_recognition_transparent_objects,https://index.ros.org/r/object_recognition_transparent_objects/#kinetic
